county,name_of_the_aquaculture_production_business_farm,address_or_location_of_the_farm,column_d,longitude_decimal_degrees,latitude_decimal_degrees,no_susceptible_or_vector_species_present,susceptible_species_present,vector_species_present,no_susceptible_or_vector_species_present_2,susceptible_species_present_2,vector_species_present_2,no_susceptible_or_vector_species_present_3,susceptible_species_present_3,vector_species_present_3,no_susceptible_or_vector_species_present_4,susceptible_species_present_4,vector_species_present_4,declared_disease_free,under_surveillance_programme,not_known_to_be_infected,other,declared_disease_free_2,under_surveillance_programme_2,not_known_to_be_infected_2,other_2,declared_disease_free_3,under_surveillance_programme_3,not_known_to_be_infected_3,other_3,declared_disease_free_4,under_surveillance_programme_4,not_known_to_be_infected_4,other_4,declared_disease_free_5,under_surveillance_programme_5,not_known_to_be_infected_5,other_5,declared_disease_free_6,under_surveillance_programme_6,not_known_to_be_infected_6,other_6,declared_disease_free_7,under_surveillance_programme_7,not_known_to_be_infected_7,other_7,declared_disease_free_8,under_surveillance_programme_8,not_known_to_be_infected_8,other_8,saltwater_cages_enclosures_pens,saltwater_ponds,saltwater_tanks_raceways,saltwater_closed_recirculation,freshwater_cages_enclosures_pens,freshwater_ponds,freshwater_tanks_raceways,freshwater_closed_recirculation,research_facility,quarantine_facility,other_9,hatchery,nursery,brood_stock,grow_out_for_human_consumption,put_take_fisheries,other_10
Kerry,Waterville Fisheries Development Group,"Clodragh, Derriana,Waterville, Co. Kerry",090 - FHA,-10.04224,51.89340,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,,a,,,,,a,a,,,,
Kerry,Mara Beo Teo - Dingle Oceanworld,"The Wood, Dingle, Co. Kerry",091 - FHA,-10.27851,52.13991,,a,a,,a,a,,a,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,a,a,,,a,a,,a,,,,,,,a
Kerry,Upper Caragh Fishery,"Lyranes Hatchery, Lyranes Lower, Glencar, Co. Kerry",599 - FHA,-9.521428,52.0026,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Kilkenny,Goatsbridge Trout Farm Ltd,"Goatsbridge, Thomastown, Co. Kilkenny",093 - FHA,-7.22512,52.47229,,a,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,a,a,,,,,,a,,,a,,
Kilkenny,Goatsbridge Trout Farm Ltd,"Ballyduff, Thomastown, Co. Kilkenny",094 - FHA,-7.10102,52.48897,,a,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,a,a,,,,,,a,,,a,,
Kilkenny,William Connolly & Sons Ltd (Connolly's Red Mills),"RED MILLS Trout Facility, Lower Grange, Goresbridge, Co. Kilkenny",095 - FHA,-6.99302,52.63530,,a,,a,,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,,a,,,,,a,,,,,
Mayo,Marine Harvest Ireland Ltd.,"Clew Bay Smolt Site, Clare Island Sea Farms, Cloughmore, Achill, Co. Mayo",035 - FHA,-9.95117,53.80317,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Mayo,Marine Harvest Ireland Ltd.,"Innishdoonver, Clew Bay, Co.Mayo by the drumlins",036 - FHA,-9.65167,53.87983,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Mayo,Marine Harvest Ireland Ltd.,"Innishcannon, Clare Island Sea Farms, Cloughmore, Achill, Co. Mayo",037 - FHA,-9.66950,53.86983,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Mayo,Marine Harvest Ireland Ltd.,"Portlea, Clare Island Sea Farms, Cloughmore, Achill, Co. Mayo",038 - FHA,-9.95900,53.82050,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
