plot_number,PTAG,sample_num,lab_num,depth_lb,pH_H2O,pH_KCl,N_t,C_t,S_t,C_N
N26,p114260,EXPA-S-N26-6,5303,50,5.28,4.14,0.09441424161195755,0.7705619931221008,< 0.05,8.161501696842622
K10,p111100,EXPA-S-K10-1,5304,5,5.15,3.99,0.2614917755126953,3.2513034343719482,< 0.05,12.433673785713765
K10,p111100,EXPA-S-K10-2,5305,10,5.17,4.07,0.22369423508644104,2.5715479850769043,< 0.05,11.495816975717743
K10,p111100,EXPA-S-K10-3,5306,20,4.92,3.92,0.164312943816185,1.572532057762146,< 0.05,9.570348027610773
K10,p111100,EXPA-S-K10-4,5307,30,4.85,3.86,0.1357334405183792,1.1659339666366577,< 0.05,8.589880004395694
K10,p111100,EXPA-S-K10-5,5308,40,4.77,3.84,0.11940848082304001,0.9913997054100037,< 0.05,8.302590390369591
K10,p111100,EXPA-S-K10-6,5309,50,4.78,3.84,0.10935097187757492,0.8211808204650879,< 0.05,7.509588679142696
P28,p116280,EXPA-S-P28-1,5310,5,4.45,3.75,0.20137687027454376,4.378811359405518,< 0.05,21.744360975695663
P28,p116280,EXPA-S-P28-2,5311,10,4.65,3.81,0.15901783108711243,3.0393588542938232,< 0.05,19.113321025167394
P28,p116280,EXPA-S-P28-3,5312,20,4.67,3.84,0.12249404191970825,2.3058156967163086,< 0.05,18.82390082472511
P28,p116280,EXPA-S-P28-4,5313,30,4.75,3.75,0.10423456877470016,1.658422589302063,< 0.05,15.910485444485243
P28,p116280,EXPA-S-P28-5,5314,40,4.76,3.83,0.07394248992204666,0.9632328152656555,< 0.05,13.026783602785581
P28,p116280,EXPA-S-P28-6,5315,50,4.88,3.86,0.053701065480709076,0.5591020584106445,< 0.05,10.411377379681408
P26,p116260,EXPA-S-P26-1,5316,5,4.71,3.75,0.2076530158519745,3.6511404514312744,< 0.05,17.58289151954331
P26,p116260,EXPA-S-P26-2,5317,10,4.65,3.9,0.17955981194972992,2.884206771850586,< 0.05,16.06265199619421
P26,p116260,EXPA-S-P26-3,5318,20,4.72,3.86,0.13100948929786682,1.9741286039352417,< 0.05,15.068592470021832
P26,p116260,EXPA-S-P26-4,5319,30,4.81,3.87,0.08957065641880035,1.0657398700714111,< 0.05,11.898314835255785
P26,p116260,EXPA-S-P26-5,5320,40,4.84,3.88,0.06720218807458878,0.6583421230316162,< 0.05,9.79643880495248
P26,p116260,EXPA-S-P26-6,5321,50,4.88,3.89,0.054785918444395065,0.3971318006515503,< 0.05,7.248793338284891
R10,p118100,EXPA-S-R10-1,5322,5,4.95,4,0.29795461893081665,4.663329124450684,< 0.05,15.651138892172979
R10,p118100,EXPA-S-R10-2,5323,10,4.94,3.99,0.2940700948238373,4.143235683441162,< 0.05,14.08927924453919
R10,p118100,EXPA-S-R10-3,5324,20,4.82,3.91,0.22199803590774536,2.442309856414795,< 0.05,11.00149308271238
R10,p118100,EXPA-S-R10-4,5325,30,4.72,3.86,0.14925654232501984,1.5412943363189697,< 0.05,10.326477568820131
R10,p118100,EXPA-S-R10-5,5326,40,4.7,3.79,0.13137474656105042,0.8661115169525146,< 0.05,6.592678879498571
R10,p118100,EXPA-S-R10-6,5327,50,4.79,3.81,0.10300321131944656,0.6177086234092712,< 0.05,5.9969841279370915
P29,p116290,EXPA-S-P29-1,5328,5,4.97,3.76,0.22827160358428955,3.979504108428955,< 0.05,17.43319819873924
P29,p116290,EXPA-S-P29-2,5329,10,4.94,3.77,0.1744120568037033,2.878605604171753,< 0.05,16.504625063917207
P29,p116290,EXPA-S-P29-3,5330,20,5.02,3.76,0.12749293446540833,1.8801013231277466,< 0.05,14.746709933465842
P29,p116290,EXPA-S-P29-4,5331,30,5.08,3.78,0.11815724521875381,1.594406247138977,< 0.05,13.493935510997462
P29,p116290,EXPA-S-P29-5,5332,40,5.17,3.85,0.06380647420883179,0.6950260996818542,< 0.05,10.89272065726603
P29,p116290,EXPA-S-P29-6,5333,50,5.35,3.96,0.05691802501678467,0.43364855647087097,< 0.05,7.618826484984177
M13,p113130,EXPA-S-M13-1,5334,5,4.75,3.69,0.250053733587265,4.252480983734131,< 0.05,17.006268703642764
M13,p113130,EXPA-S-M13-2,5335,10,4.71,3.74,0.17689187824726105,2.6563687324523926,< 0.05,15.016906139349691
M13,p113130,EXPA-S-M13-3,5336,20,4.64,3.76,0.12602077424526215,1.4345496892929077,< 0.05,11.383438150451141
M13,p113130,EXPA-S-M13-4,5337,30,4.76,3.83,0.07967629283666611,0.6255621314048767,< 0.05,7.8512956506053735
M13,p113130,EXPA-S-M13-5,5338,40,4.77,3.74,0.07972253113985062,0.4331628680229187,< 0.05,5.433380774916153
M13,p113130,EXPA-S-M13-6,5339,50,4.9,3.92,0.058221980929374695,0.31737765669822693,< 0.05,5.451165550056038
K5,p111050,EXPA-S-K5-1,5340,5,5.01,3.85,0.32094210386276245,5.0212321281433105,< 0.05,15.645289501468563
K5,p111050,EXPA-S-K5-2,5341,10,4.95,3.81,0.23912446200847626,3.454169750213623,< 0.05,14.445070659860734
K5,p111050,EXPA-S-K5-3,5342,20,4.86,3.78,0.18476159870624542,2.4787817001342773,< 0.05,13.416108744952574
K5,p111050,EXPA-S-K5-4,5343,30,4.8,3.68,0.13968786597251892,1.4681406021118164,< 0.05,10.510151271125057
K5,p111050,EXPA-S-K5-5,5344,40,4.95,3.69,0.1216396614909172,0.98,< 0.05,8.056582762466634
