CSP,no,horizon_depth29,horizon_distinctness30,soil_horizon31,soil_col32,org_matter33,ped_soil_moist36,ped_con37,ped_other38,ped_soil_structure39,ped_soil_size40,ped_voids_porosity41,cutan_feat44,bio_root45,bio_bio_feat46,gen_sub47,hand_text48,rock_artefacts49,coarse_mat50,chargo51,parent_material53,artefact_type54,abundance_size55,stratigraphy56,samp_num_dist60,samp_num_undist61
CSP12,4,-50,e,II Bv,"7,5 YR 6/6",h1,,,,koh-sub,h,"f3, gri3",,"Wf1, Wg1",,uhg2,Ut3,"fGr3, gX4",40,,Csa,,,qh,,
CSP12,5,-75,e,II ilCv1,"7,5 YR 6/6",h0,24.2,ko3,,sub-ei,h,,,"Wf0, Wg0",,"cc, uhg2",Ts2,gX6,40,,Csa,,,qh,,
CSP12,6,-170+,,III ilCv2,"7,5 YR 6/6",h0,,ko3,,,h,,,"Wf0, Wg0",,"cc, uhg2",Ts,"gGr, gX6",80,,Csa,,,qh,,
CSP12,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP12,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP13,1,-2,,Ai,,,,,,,,,,,,,,,0,,,,,,13-1-1,
CSP13,2,-10,w,Bv+Ah,,h3,,,,sub-bro,,"gri3, f3-4",,"Wf4, Wg3",,,,,2,,Lhg (Xhg),,,,13-1-2,
CSP13,3,-25,w,Ah+Al-Bv,10 YR 5/4,h1-2,14.9,ko2,,bro+sub,h,"gri2, f3 + gri3, f2",,"Wf3, Wg4",Rwu,uhg,Ut2,fX1,10,,Gn,Bhk,,qh,13-1-3,
CSP13,4,-60,w,II Btv,"7,5 YR 6/8,      10 YR 5/6",h0,21,ko4,,pol-sub,g,"gri4, f2 + gri3, f4",,"Wf1, Wg2",,uhg,Ut3,fGr1,2,,Gn,Bhk,,qh,13-1-4,
CSP13,5,-140+,"e,h",II ilCv,"7,5 YR 5/8",h0,"24,2 / 27,5",ko4,,pol-sub,g,"gri2-3, f3",,"Wf0, Wg0",,uhg,Ut3,gX1,10,,Gn,Bhk,,qh,13-1-5,
CSP13,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP13,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP13,8,,,,,,,,,,,,,,,,,,,,,,,,,
