id,site,PTAG,PR,NR,species,branchNR,WD,LA,SLA,CHL,LN,LP,LC,SD,SA,O1_D,O1_SRL,BA13,BA14,BA15,BA16,BA17,BA18
ind299,A,p123140,1,1,SP23,12,0.442,18.297,164.41,42.6,19,0.96,403.93,222,173.3217845,0.34,13.128,8.042477193,15.20530844,17.72054606,19.2442185,19.63495408,18.8574099
ind3,A,p103320,2,2,SP23,11,0.456,26.802,231.092,44.7,22.31,1.04,429.16,260,103.0540251,0.218,27.141,42.42917228,45.96346402,52.16810951,57.41456924,58.08804816,68.66147094
ind30,A,p106270,4,NA,SP31,12,0.443,13.054,155.16,37.8,23.89,1.12,425.55,424,NA,0.541,25.155,NA,NA,NA,NA,NA,
ind300,B,p206250,8,4,SP2,9,0.415,18.631,120.1993963,26.1,12.16,0.66,456.045,283.93,68.01670931,NA,NA,7.54767635,11.64156428,12.88249338,14.18625433,15.90431281,22.90221044
ind301,B,p206250,8,5,SP26,3,0.658,6.624,66.24021803,41.1,12.113,0.47,463.456,683.55,49.8110071,NA,NA,1.327322896,3.141592654,4.908738521,8.295768101,10.1787602,12.56637061
ind302,B,p206250,8,3,SP6,10,0.536,26.163,112.9325482,42.6,11.593,0.58,458.853,525.81,36.57182986,NA,NA,4.908738521,10.75210086,24.19222693,40.71504079,50.26548246,81.71282492
ind303,B,p206250,8,3,SP11,14,0.489,16.734,110.3366223,56.5,14.699,0.56,457.274,294.45,48.07390742,NA,NA,26.87828865,33.69554471,57.41456924,75.42963961,86.59014751,113.0973355
ind304,B,p206250,8,4,SP21,16,0.371,20.081,88.07647437,53.9,10.484,0.47,444.795,241.87,98.41537872,NA,NA,20.42820623,30.1907054,37.39280656,49.63912742,72.38229474,82.51589454
ind305,B,p206250,8,5,SP6,4,0.498,23.254,118.2391797,39.2,14.035,0.63,460.519,483.74,39.76107419,NA,NA,1.767145868,3.976078202,8.552985999,15.55284713,26.42079422,45.36459792
ind306,B,p206250,8,4,SP3,14,0.494,40.434,175.7978754,31.8,13.601,0.75,453.669,NA,NA,NA,NA,6.834927517,10.46346703,15.90431281,15.90431281,17.72054606,23.75829444
ind307,B,p206250,8,5,SP2,16,0.411,28.065,103.9428146,40.9,10.557,0.64,451.942,294.45,90.12799553,NA,NA,9.897980354,12.56637061,16.61902514,24.19222693,22.06183441,33.1830724
