objectid,tree_id,address,species,com_name,dbh,height,condition,land_type,park_name,x,y
1485,2976,700 E 12TH ST,Quercus fusiformis,Escarpment Live Oak,42,32,Fair,ROW,,3117267.58177,10072139.9704
1486,2977,1300 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),17,23,Fair,ROW,,3116154.33728,10073029.0802
1487,2978,1300 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,23,Fair,ROW,,3116218.72954,10073203.6825
1489,2980,400 E 15TH ST,Quercus fusiformis,Escarpment Live Oak,36,36,Fair,ROW,,3116512.20993,10073673.0035
1501,2994,100 E 11TH ST,Quercus virginiana,Southern Live Oak,14,27,Fair,ROW,,3114951.93417,10072458.2172
1502,2995,100 E 11TH ST,Quercus virginiana,Southern Live Oak,13,27,Fair,ROW,,3115016.32643,10072440.8809
1503,2996,100 E 11TH ST,Quercus virginiana,Southern Live Oak,16,27,Fair,ROW,,3115080.71869,10072422.3062
1504,2997,100 E 11TH ST,Quercus virginiana,Southern Live Oak,19,27,Fair,ROW,,3115137.68118,10072402.4932
1505,2998,100 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115195.88185,10072385.1566
1510,3003,600 E 11TH ST,Quercus fusiformis,Escarpment Live Oak,17,32,Good,ROW,,3116663.60595,10071945.9974
1511,3004,600 E 11TH ST,Quercus fusiformis,Escarpment Live Oak,16,30,Good,ROW,,3116711.66163,10071932.9056
1512,3005,600 E 11TH ST,Quercus fusiformis,Escarpment Live Oak,18,30,Good,ROW,,3116752.27605,10071922.8478
1513,3006,600 E 11TH ST,Quercus fusiformis,Escarpment Live Oak,16,28,Good,ROW,,3116894.95457,10071875.3263
1514,3007,700 E 12TH ST,Quercus virginiana,Southern Live Oak,20,26,Fair,ROW,,3117354.26369,10072237.7973
1515,3008,700 E 12TH ST,Quercus virginiana,Southern Live Oak,15,25,Fair,ROW,,3117388.93652,10072226.6524
1516,3009,700 E 11TH ST,Quercus fusiformis,Escarpment Live Oak,20,35,Good,ROW,,3117012.60427,10071848.8913
1517,3010,700 E 11TH ST,Quercus fusiformis,Escarpment Live Oak,18,28,Poor,ROW,,3117045.97428,10071838.3861
1518,3011,700 E 11TH ST,Sabal mexicana,Mexican Sabal Palm,15,27,Good,ROW,,3117143.54364,10071803.0394
1521,3015,1020 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,32,35,Fair,Private,,3116531.05077,10071892.1094
1522,3016,1020 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,40,35,Fair,Private,,3116508.63874,10071801.4541
1523,3017,503 E 11 ST,Quercus fusiformis,Escarpment Live Oak,32,29,Fair,Private,,3116423.07854,10071879.3125
1524,3018,503 E 11 ST,Quercus fusiformis,Escarpment Live Oak,28,25,Fair,Private,,3116426.78982,10071914.3908
1525,3019,400 E 11TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3116447.82456,10072001.5554
1526,3020,400 E 11TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3116483.07088,10071988.5564
1527,3021,400 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3116420.58773,10072007.3739
1528,3022,400 E 11TH ST,Quercus fusiformis,Escarpment Live Oak,32,37,Fair,ROW,,3115996.45210,10072130.0640
1529,3023,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),5,12,Fair,ROW,,3115965.49416,10072090.4381
1530,3024,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),9,16,Fair,ROW,,3115987.78381,10072084.2465
1531,3025,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),9,9,Fair,ROW,,3116022.45664,10072078.0549
1532,3026,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),9,12,Fair,ROW,,3116037.30110,10072072.2032
1533,3027,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),5,12,Fair,ROW,,3116048.56748,10072071.5349
1534,3028,400 E 11TH ST,Carya illinoinensis,Pecan,26,40,Fair,ROW,,3116065.82401,10072064.4017
1535,3030,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,12,Good,ROW,,3116089.32560,10072055.7652
1536,3031,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,15,Good,ROW,,3116123.99843,10072043.3820
