TAG,PTAG,ALTITUDE,SLOPE,SpeciesCode,PSI50,SAWP,NCI,nb_count,nb_richness,nb_mix,SPEI_12_Oct,Initial_year
t123130011009,p123130,224.88,44.56,21,-4.321994171,0.6699610614444277,0.07169946547196357,7,0,21,1.58454,2014
t123130011009,p123130,224.88,44.56,21,-4.321994171,1.4522705893806716,0.04784322729900125,7,0,21,1.38172,2015
t123130010909,p123130,224.23,44.28,21,-4.321994171,0.1040175842286405,0.3929273085182137,7,0,21,-1.51947,2010
t123130010909,p123130,224.23,44.28,21,-4.321994171,0.7953016027813568,0.4110334111155075,7,0,21,1.44876,2011
t123130010909,p123130,224.23,44.28,21,-4.321994171,0.33149704157135035,0.49635332261586523,8,0,21,-0.29015,2012
t123130010909,p123130,224.23,44.28,21,-4.321994171,1.1032745335719123,0.35700035222907134,7,0,21,0.67536,2013
t123130010909,p123130,224.23,44.28,21,-4.321994171,0.6587287964246866,0.49322082104881615,7,0,21,1.58454,2014
t123130010909,p123130,224.23,44.28,21,-4.321994171,1.1230840571407974,0.32335730668337853,7,0,21,1.38172,2015
t123130010809,p123130,223.61,44.02,21,-4.321994171,0.027851317082996544,0.21186440687796126,7,0,21,-1.51947,2010
t123130010809,p123130,223.61,44.02,21,-4.321994171,0.2708546768297957,0.12727272729611092,8,0,21,1.44876,2011
t123130010809,p123130,223.61,44.02,21,-4.321994171,1.055896384926977,0.11030413072533851,8,0,21,-0.29015,2012
t123130010809,p123130,223.61,44.02,21,-4.321994171,0.6542903057527427,0.12344625126141233,8,0,21,0.67536,2013
t123130010809,p123130,223.61,44.02,21,-4.321994171,1.6472303101844288,0.10665780927509183,8,0,21,1.58454,2014
t123130010808,p123130,224.38,44.12,21,-4.321994171,0.3974497757519567,0.0339342524185759,5,0,21,-1.51947,2010
t123130010808,p123130,224.38,44.12,21,-4.321994171,0.33101296407941755,0.04114246855264678,7,0,21,1.44876,2011
t123130010808,p123130,224.38,44.12,21,-4.321994171,1.2338768959537603,0.022933912333311584,6,0,21,-0.29015,2012
